date	company	role	req	location	url	status	next_action	last_contact	referral
2025-10-22	Ralliant	Hardware Design Engineer (Tek)	NA	Beaverton, OR	https://ralliant.eightfold.ai/careers?utm_source=position_notification_logged_out_candidate&domain=ralliant.com&profile_type=candidate&start=0&location=United+States&pid=1133909638674&sort_by=match&filter_include_remote=1	applied		2025-10-22	
2025-10-22	NVIDIA	Senior Hardware Validation Engineer	JR1996018	Santa Clara, CA		Reject		2025-10-22	
2025-10-22	Micron	Senior SSD Validation Engineer	JR79466	Longmont, CO	https://micron.wd1.myworkdayjobs.com/en-US/External/job/Senior-SSD-Validation-Engineer_JR79466	applied		2025-10-22	
2025-10-22	Micron	System Validation Engineer	JR82019	Boise, ID - Main Site	https://micron.wd1.myworkdayjobs.com/en-US/External/job/System-Validation-Engineer_JR82019	applied		2025-10-22	
2025-10-22	Micron	Semiconductor Product Engineer	JR81878	Boise, ID - Main Site	https://micron.wd1.myworkdayjobs.com/en-US/External/job/Semiconductor-Product-Engineer_JR81878	applied		2025-10-22	
2025-10-22	Micron	SSD Customer Validation Engineer	JR79271	Longmont, Colorado	https://micron.eightfold.ai/careers?start=0&location=United+States&pid=29716471&sort_by=match&filter_include_remote=1	applied		2025-10-22	
2025-10-22	Micron	Software Engineer, SECS/GEM	JR80816	Boise, Idaho	https://micron.eightfold.ai/careers/apply?pid=30764716	applied		2025-10-22	
2025-10-22	Micron	Product Development Engineer	JR82130	Boise, Idaho	https://micron.eightfold.ai/careers?start=0&location=United+States&pid=37799409&sort_by=match&filter_include_remote=1	applied		2025-10-22	
2025-10-22	Micron	Software Development Engineer	JR81973	Boise,ID	https://micron.eightfold.ai/careers?start=0&location=United+States&pid=31029158&sort_by=match&filter_include_remote=1	applied		2025-10-22	
2025-10-22	Synopsys	Test & Validation Engineer	10364	Austin,TX	https://synopsys.avature.net/careers/JobDetail/Test-Validation-Engineer-10364/10364?businessTitle=Test+%26+Validation+Engineer%2C+Staff	applied		2025-10-22	
2025-10-23	NVIDIA	Senior Software Engineer - Computer Vision and VLM Deep Learning	JR2005570	US, CA, Santa Clara	https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Senior-Software-Engineer---Computer-Vision-and-VLM-Deep-Learning_JR2005570	applied		2025-10-23	
2025-10-23	NVIDIA	Technical Product Marketing Engineer - New College Grad 2025	JR2006004	US, CA, Santa Clara	https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Technical-Product-Marketing-Engineer---New-College-Grad-2025_JR2006004	applied		2025-10-23	
2025-10-23	NVIDIA	Applied Machine Learning Engineer, Circuit Design - New College Grad 2025	JR2005860	Santa Clara, CA	https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Applied-Machine-Learning-Engineer--Circuit-Design---New-College-Grad-2025_JR2005860	applied		2025-10-23	
2025-10-23	Amazon	Agentic AI Teacher , AGI Data Services	3107738	Multiple	https://account.amazon.jobs/en-US/applicant/jobs/3107738/summary?result=success	applied	Online Assesment	2025-10-23	
2025-10-23	Amazon	AI Content Expert II, AGI Data Services (ID: 3099795)	3099795	Boston	https://www.amazon.jobs/en-US/applicant/jobs/3099795/apply	applied	    Online Assessment  2025-10-23  
2025-10-24	Amazon	Software Dev Engineer (Contract), Artificial General Intelligence (ID: 3071248)	3071248	US, WA, Bellevue	https://www.amazon.jobs/en-US/applicant/jobs/3071248/summary?result=success	applied		2025-10-24	
2025-10-24	Amazon	Sr SDE, AGI Inference (ID: 3109602)	3109602	US, CA, Sunnyvale	https://www.amazon.jobs/en-US/applicant/jobs/3109602/summary?result=success	applied		2025-10-24	
2025-10-24	Amazon	Member of Technical Staff - Applied Science, AGI Autonomy (ID: 2914964)	2914964	US, CA, San Francisco	https://www.amazon.jobs/en/jobs/2914964/member-of-technical-staff-applied-science-agi-autonomy	applied		2025-10-24	
2025-10-24	Apple	Wireless Design Verification Engineer	200627677	Irvine, CA	https://jobs.apple.com/en-us/details/200627677/Wireless-Design-Verification-Engineer	applied		2025-10-24	
2025-10-24	Apple	Wireless Design Verification Engineer	200627675	San Diego	https://jobs.apple.com/en-us/details/200627675/Wireless-Design-Verification-Engineer	applied		2025-10-24	
2025-10-24	Apple	Wireless PHY Design Verification Engineer	200627673-3543	San Diego	https://jobs.apple.com/en-us/details/200627673-3543/wireless-phy-design-verification-engineer	applied		2025-10-24	
2025-10-24	Apple	Wireless Verification Infrastructure Engineer	200627671	Sunnyvale, California, United States	https://jobs.apple.com/en-us/details/200627671/Wireless-Verification-Infrastructure-Engineer	applied		2025-10-24	
2025-10-24	Meta	Silicon Validation Engineer, Reality Labs		Sunnayvale, CA	https://www.metacareers.com/jobs/1833406347371013/	applied		2025-10-24	
2025-10-24	Apple	Physical Design Methodology CAD Engineer	200627047	Austin, Texas, United States	https://jobs.apple.com/en-us/details/200627047/Physical-Design-Methodology-CAD-Engineer	applied		2025-10-24	
2025-10-24	Apple	GenAI Physical Synthesis Engineer	Austin200624448-0157	Austin, TX	https://jobs.apple.com/en-us/details/200624448-0157/genai-physical-synthesis-engineer?team=HRDWR	applied		2025-10-24	
2025-10-24	Apple	Gen AI Software Engineer		200626209-0836Cupertino, CA	https://jobs.apple.com/en-us/details/200626209-0836/gen-ai-software-engineer?team=HRDWR	applied		2025-10-24	
2025-10-24	Capital One	Distinguished AI Engineer	R226019	Multiplw	https://capitalone.wd12.myworkdayjobs.com/en-US/Capital_One/job/Distinguished-AI-Engineer_R226019-1	applied		2025-10-24	
2025-10-24	Capital One	Lead AI Engineer (AI Foundations, Python)	R225159	Multiple	https://capitalone.wd12.myworkdayjobs.com/en-US/Capital_One/job/Lead-AI-Engineer--AI-Foundations--Python-_R225159	applied		2025-10-24	
2025-10-24	Pepsico	Ai Engineer	2025-391511	US-TX-Plano	https://uscareers-pepsico.icims.com/jobs/391511/ai-engineer/job?mode=submit_apply&from=assessment	applied		2025-10-24	
2025-10-24	Capital One	Lead AI Engineer (AI Foundations, LLM Core)	R227515	Multiple	https://capitalone.wd12.myworkdayjobs.com/en-US/Capital_One/job/Lead-AI-Engineer--AI-Foundations--LLM-Core-_R227515-1	applied		2025-10-24	
2025-10-24	NVIDIA	Systems Validation Engineer	JR2002546	US, CA, Santa Clara	https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Systems-Validation-Engineer_JR2002546	applied		2025-10-24	
2025-10-24	Broadcom	R&D SW Quality Engineer	R023441	locations	USA-CO Broomfield	applied		2025-10-24	
2025-10-24	Broadcomm	Physical Design Engineer	R023787	San Jose-	https://broadcom.wd1.myworkdayjobs.com/en-US/External_Career/job/Physical-Design-Engineer_R023787	applied		2025-10-24	
2025-10-25	PPLSI	Software Test Engineer	R0002717	Remote	https://legalshieldcorp.wd1.myworkdayjobs.com/en-US/lsc/job/Software-Test-Engineer_R0002717	applied		2025-10-25	
